GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,1,"...","All industry total ","Thousands of dollars",6827152,7301986,7760094,7851865,8486108,9468978
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,2,"..."," Private industries ","Thousands of dollars",5378066,5813687,6249484,6255432,6839056,7782637
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",(D),20289,(D),(D),35220,27847
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",230757,277302,248622,166509,201302,288561
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,10,"22","  Utilities ","Thousands of dollars",(D),174318,(D),(D),(D),333928
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,11,"23","  Construction ","Thousands of dollars",325608,363284,390951,381400,375943,429133
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",298648,328769,319844,300291,315197,363410
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",165415,(D),169844,163840,167050,193416
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",133233,(D),150001,136451,148147,169994
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",(D),(D),(D),(D),(D),642678
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",606123,654795,692814,718002,831806,902428
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",171635,190358,215818,200983,190669,211299
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,45,"51","  Information ","Thousands of dollars",(D),(D),240276,258017,269382,294142
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",1134889,1215609,1307359,1477758,1557073,1731359
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",317851,355003,379052,387622,411146,466045
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",817037,860607,928306,1090135,1145927,1265314
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,59,"54,55,56","  Professional and business services ","Thousands of dollars",396972,(D),510550,515705,596121,697839
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",234994,239670,329525,300077,272257,(D)
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",(D),(D),(D),(D),(D),(D)
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",(D),(D),(D),(D),(D),360135
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,68,"61,62","  Educational services, health care, and social assistance ","Thousands of dollars",934760,988208,1043699,1034346,1105802,1203978
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,69,"61","   Educational services ","Thousands of dollars",163757,170604,(D),(D),(D),(D)
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,70,"62","   Health care and social assistance ","Thousands of dollars",771003,817604,(D),(D),(D),(D)
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",(D),(D),294282,250877,307592,348130
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,76,"71","   Arts, entertainment, and recreation ","Thousands of dollars",(D),(D),33952,27194,29372,33086
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,79,"72","   Accommodation and food services ","Thousands of dollars",(D),(D),260330,223683,278221,315044
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,82,"81","  Other services (except government and government enterprises) ","Thousands of dollars",221072,241733,278277,247255,265347,307905
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,83,"92","Government and government enterprises ","Thousands of dollars",1449087,1488299,1510610,1596434,1647051,1686341
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,87,"11,21","Natural resources and mining ","Thousands of dollars",(D),297591,(D),(D),236522,316407
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,88,"42,44-45","Trade ","Thousands of dollars",(D),(D),(D),(D),(D),1545106
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,89,"22,48-49","Transportation and utilities ","Thousands of dollars",(D),364675,(D),(D),(D),545227
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,90,"31-33,51","Manufacturing and information ","Thousands of dollars",(D),(D),560120,558308,584578,657552
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",(D),989645,(D),(D),927662,1108950
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",(D),4824042,(D),(D),5911395,6673687
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,1,"...","All industry total ","Thousands of dollars",36424857,37615672,39043993,38383374,41382320,44562456
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,2,"..."," Private industries ","Thousands of dollars",32699670,33769508,35160718,34477706,37355553,40373867
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",(D),(D),(D),(D),14843,18204
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",60015,65418,65004,53485,(D),(D)
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,10,"22","  Utilities ","Thousands of dollars",149119,157348,163344,196203,(D),(D)
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,11,"23","  Construction ","Thousands of dollars",1507893,1638552,1778877,1677636,1676036,1735089
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",4749983,4996364,5144076,4866700,5113794,5504500
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",2618393,2582129,2611068,2336715,2414953,2645316
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",2131590,2414235,2533008,2529985,2698841,2859184
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",2889108,2966313,3092952,3054426,3209115,3457403
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",2923222,2913433,3049024,3311333,3807467,4134400
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",(D),(D),(D),(D),(D),(D)
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,45,"51","  Information ","Thousands of dollars",1099001,1122907,1223121,1183210,1230037,1250475
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",7180824,7533593,7988312,8048251,8722725,(D)
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",2797637,2982348,3428455,3235009,3593428,3892508
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",4383187,4551246,4559856,4813242,5129297,(D)
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,59,"54,55,56","  Professional and business services ","Thousands of dollars",5198701,5313003,5324442,5150941,5601052,5973824
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",1759286,1882955,2037171,2000268,2224522,2445650
