table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,
"Annual Estimates of the Resident Population for Metropolitan Statistical Areas in the United States and Puerto Rico: April 1, 2020 to July 1, 2023",,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,
,,2020,2021,2022,2023
United States,"331,464,948","331,526,933","332,048,977","333,271,411","334,914,895"
.In Metropolitan Statistical Area,"285,662,108","285,741,067","286,200,169","287,378,686","288,910,527"
".Abilene, TX Metro Area","176,562","176,883","177,831","179,665","181,591"
".Akron, OH Metro Area","702,225","701,674","696,512","697,511","698,398"
".Albany, GA Metro Area","148,915","148,249","144,933","145,796","145,508"
".Albany, OR Metro Area","128,611","128,981","130,120","130,622","131,496"
".Albany-Schenectady-Troy, NY Metro Area","899,247","899,724","904,824","903,595","904,682"
".Albuquerque, NM Metro Area","916,545","917,579","919,392","920,138","922,296"
".Alexandria, LA Metro Area","152,184","151,800","150,882","149,068","148,171"
".Allentown-Bethlehem-Easton, PA-NJ Metro Area","861,910","861,557","870,135","870,570","873,555"
".Altoona, PA Metro Area","122,827","122,666","122,150","120,734","120,273"
".Amarillo, TX Metro Area","268,683","269,029","269,804","270,589","272,395"
".Ames, IA Metro Area","125,242","125,347","126,440","124,836","125,156"
".Amherst Town-Northampton, MA Metro Area","162,316","146,616","163,128","162,518","162,502"
".Anchorage, AK Metro Area","398,312","398,397","400,167","400,455","401,314"
".Ann Arbor, MI Metro Area","372,258","371,834","365,013","366,504","365,536"
".Anniston-Oxford, AL Metro Area","116,441","116,243","115,678","115,780","116,429"
".Appleton, WI Metro Area","243,153","243,451","243,903","244,981","246,433"
".Asheville, NC Metro Area","406,933","407,563","410,828","413,969","417,202"
".Athens-Clarke County, GA Metro Area","215,422","215,712","218,314","220,331","222,060"
".Atlanta-Sandy Springs-Roswell, GA Metro Area","6,106,847","6,120,849","6,159,696","6,238,676","6,307,261"
"..Atlanta-Sandy Springs-Roswell, GA Metro Division","4,766,661","4,777,385","4,802,782","4,862,719","4,913,673"
"..Marietta, GA Metro Division","1,340,186","1,343,464","1,356,914","1,375,957","1,393,588"
".Atlantic City-Hammonton, NJ Metro Area","369,798","369,234","370,662","370,787","369,823"
".Auburn-Opelika, AL Metro Area","193,774","194,218","196,501","199,230","201,585"
