MetroArea,Population,MainCity,lat,lng,GDP,TravelTimeIndexValue,PopNorm,GDPNorm,TTINorm,demand_score,proximity_score,cluster_id
"Abilene, TX",181591,"Abilene, TX",32.4487364,-99.73314390000002,9468978000.0,1.0700000000000003,0.00635564023912701,0.0028955443209956627,0.06521739130434837,0.022539963374693408,0.43052707569515813,3.0
"Akron, OH",698398,"Akron, OH",41.081199,-81.51883769999999,44562456000.0,1.12,0.03294007118131884,0.019142568344862252,0.17391304347826103,0.0732433701775298,0.7437808826686219,1.0
"Albany, GA",145508,"Albany, GA",31.5785074,-84.15574099999999,7312400000.0,1.0700000000000003,0.004499539176859842,0.001897125909023439,0.06521739130434837,0.00847922251355515,0.5961529323138378,4.0
"Albany, OR",131496,"Albany, OR",44.6365107,-123.1059282,6107649000.0,1.0600000000000003,0.0037787651812251234,0.0013393693241737614,0.043478260869565744,0.0,0.4304162054003762,0.0
"Albany-Schenectady-Troy, NY",904682,"Albany, NY",42.6525793,-73.7562317,80302855000.0,1.12,0.043551271789048815,0.03568909363299635,0.17391304347826103,0.25497608029233254,0.5830883180216696,1.0
"Albuquerque, NM",922296,"Albuquerque, NM",35.0843859,-106.650422,53861763000.0,1.16,0.04445733182038695,0.023447814585611338,0.2608695652173911,0.42961470814823416,0.359896063780345,0.0
"Alexandria, LA",148171,"Alexandria, LA",31.3112936,-92.4451371,7459955000.0,1.11,0.004636523272661673,0.0019654385917914916,0.1521739130434784,0.025393092632536286,0.5040737466519605,3.0
"Allentown-Bethlehem-Easton, PA-NJ",873555,"Allentown, PA",40.6022939,-75.4714098,54322843000.0,1.12,0.04195010620511205,0.02366127811968808,0.17391304347826103,0.07705828786619748,0.6906742312930925,1.0
"Altoona, PA",120273,"Altoona, PA",40.5186809,-78.3947359,7237590000.0,1.0600000000000003,0.003201456691858263,0.001862491557101254,0.043478260869565744,0.003922252879583935,0.6919380043969662,1.0
"Amarillo, TX",272395,"Amarillo, TX",35.2219971,-101.8312969,17375642000.0,1.09,0.011026576714977351,0.006556046707126815,0.10869565217391315,0.0809343412613259,0.40238155675484877,3.0
"Ames, IA",125156,"Ames, IA",42.0307812,-93.63191309999999,8103976000.0,1.09,0.0034526370672996226,0.0022635972598743356,0.10869565217391315,0.0,0.5477005273184438,2.0
"Anchorage, AK",401314,"Anchorage, AK",61.2175758,-149.8996785,31569987000.0,1.14,0.017658139856800953,0.013127520307379563,0.2173913043478258,0.23694114277329567,0.1027648875780465,5.0
"Ann Arbor, MI",365536,"Ann Arbor, MI",42.2808256,-83.7430378,30556485000.0,1.09,0.01581772792304282,0.012658305163122933,0.10869565217391315,0.0,0.7429983519144541,2.0
"Anniston-Oxford, AL",116429,"Anniston, AL",33.6598257,-85.8316318,5466368000.0,1.05,0.003003722232878827,0.0010424791780033194,0.02173913043478263,1.5496788646284042e-05,0.6868629588237107,4.0
"Appleton, WI",246433,"Appleton, WI",44.2619309,-88.41538469999999,16977033000.0,1.0700000000000003,0.009691097520382106,0.006371505009688635,0.06521739130434837,0.10572883636099287,0.635582327463201,2.0
"Asheville, NC",417202,"Asheville, NC",35.5950581,-82.5514869,26228006000.0,1.1,0.018475414852707633,0.01065437433871727,0.1304347826086958,0.18384639003671338,0.6804377238971753,4.0
"Athens-Clarke County, GA",222060,"Athens, GA",33.9519347,-83.357567,12628127000.0,1.12,0.00843735611333065,0.004358117215536754,0.17391304347826103,0.0004937695335948616,0.6623328833064671,4.0
"Atlanta-Sandy Springs-Roswell, GA",6307261,"Atlanta, GA",33.748752,-84.38768449999999,525888412000.0,1.25,0.3214586692028529,0.24197925527690567,0.45652173913043476,6.885776798881065,0.6915595993353421,4.0
"Atlantic City-Hammonton, NJ",369823,"Atlantic City, NJ",39.3642834,-74.4229266,16851079000.0,1.09,0.016038250198184556,0.006313192816639485,0.10869565217391315,0.08458030433781122,0.5805645280125876,1.0
"Auburn-Opelika, AL",201585,"Auburn, AL",32.6098566,-85.48078249999999,8255829000.0,1.09,0.007384126912601215,0.002333899762780893,0.10869565217391315,2.2902769533772403e-05,0.6526796449177773,4.0
"Augusta-Richmond County, GA-SC",629429,"Augusta, GA",33.4734978,-82.0105148,34184537000.0,1.09,0.029392321987418552,0.014337963360689937,0.10869565217391315,0.07329377032987246,0.6318894667493788,4.0
"Austin-Round Rock-San Marcos, TX",2473275,"Austin, TX",30.267153,-97.7430608,222054436000.0,1.27,0.12423932803616915,0.10131500115712579,0.5,1.6396836335475888,0.4412687396092522,3.0
"Bakersfield-Delano, CA",913820,"Bakersfield, CA",35.3732921,-119.0187125,57540870000.0,1.15,0.0440213283671326,0.025151109420491362,0.23913043478260845,0.034084962897148255,0.349040045292195,0.0
"Baltimore-Columbia-Towson, MD",2834316,"Baltimore, MD",39.2903848,-76.6121893,241399485000.0,1.1899999999999997,0.14281119244938315,0.11027106632245012,0.32608695652173847,1.8982581553183877,0.7221364791127006,1.0
"Bangor, ME",155312,"Bangor, ME",44.8016128,-68.7712257,8551429000.0,1.08,0.00500385463883549,0.0024707519807757854,0.08695652173913052,0.05363748635696207,0.33099931717193354,1.0
"Barnstable Town, MA",231735,"Barnstable, MA",41.7003208,-70.3002024,16351415000.0,1.0700000000000003,0.008935035845543463,0.0060818662718079555,0.06521739130434837,0.0,0.43486683625912836,1.0
"Baton Rouge, LA",873661,"Baton Rouge, LA",30.4514677,-91.18714659999999,62951412000.0,1.23,0.04195555882026601,0.02765599667778,0.41304347826086946,0.08784410689081333,0.5210451105917934,3.0
"Battle Creek, MI",133366,"Battle Creek, MI",42.3211522,-85.17971419999999,7727860000.0,1.0700000000000003,0.0038749575429034653,0.002089469016222891,0.06521739130434837,0.023332986866449638,0.7409416950598102,2.0
"Bay City, MI",102500,"Bay City, MI",43.5944677,-83.8888647,4591500000.0,1.05,0.00228721773778919,0.000637446612872211,0.02173913043478263,0.024270683728048727,0.6995439131025787,2.0
"Beaumont-Port Arthur, TX",395479,"Beaumont, TX",30.080174,-94.1265562,29006651000.0,1.08,0.017357988824505163,0.011940787502690267,0.08695652173913052,0.008771683022995573,0.4607668552844997,3.0
"Beckley, WV",111428,"Beckley, WV",37.7781702,-81.1881557,5187045000.0,1.0600000000000003,0.002746471965096267,0.0009131626283179764,0.043478260869565744,0.009130426068904955,0.6754690595790577,1.0
"Bellingham, WA",231919,"Bellingham, WA",48.7519112,-122.4786854,19595016000.0,1.12,0.008944500762414485,0.0075835374191031224,0.17391304347826103,0.04694468597396563,0.28765492160244077,0.0
"Bend, OR",260919,"Bend, OR",44.0581728,-121.3153096,13877714000.0,1.12,0.010436253964912833,0.004936631263329662,0.17391304347826103,0.11260394845191758,0.3093860777796882,0.0
